Tool Name,Company,Launch Year
Kaedim,Unknown,2023
Kinetix,Unknown,2022
GET3D by NVIDIA,Unknown,2020
DeepMotion,Unknown,2019
Wonder Studio,Unknown,2019
PrometheanAI,Unknown,2019
Plask,Unknown,2019
Alpha3D,Unknown,2020
Sloyd,Unknown,2020
Move AI,Unknown,2020
Rokoko Video,Unknown,2018
Atlas Design,Unknown,2023
Masterpiece X,Unknown,2020
Loci,Unknown,2021
Sortium,Unknown,2021
Assemblio,Unknown,2021
Yellow,Unknown,2018
QuickMagic,Unknown,2021
Hypothetic,Unknown,2021
SKY ENGINE AI,Unknown,2022
Skybox Lab,Unknown,2019
G3DAI {Jedi},Unknown,2020
Draw3D,Unknown,2020
Masterpiece Studio ,Unknown,2018
Replicate Codex,Unknown,2022
Homestyler AI,Unknown,2018
Texture Lab,Unknown,2022
OpalAi,Unknown,2022
Tripo,Unknown,2023
Leo,Unknown,2021
Glyf,Unknown,2019
CodeBaby,Unknown,2022
Tafi Avatar,Unknown,2020
Blimeycreate,Unknown,2020
Unity,Unknown,2021
3DAiLY,Unknown,2018
Luma AI,Luma AI,2021
Polycam,Polycam,2020
Meshroom,AliceVision,2018
Kaedim,Kaedim,2021
CSM AI,Common Sense Machines,2022
MySports AI,Unknown,2019
LlamaIndex,Unknown,2021
Aporia,Unknown,2018
Sapien,Unknown,2020
ActiveLoop.ai,Unknown,2019
EnCharge AI,Unknown,2020
Knostic,Unknown,2019
Speaksage,Unknown,2022
Datamatics,Unknown,2021
BigPanda,Unknown,2021
Tensorplex,Unknown,2018
Hailo,Unknown,2023
RunSybil,Unknown,2022
PublicAI,Unknown,2019
Indicium Tech,Unknown,2023
Jamix,Unknown,2022
Deci,Unknown,2022
Lambda,Unknown,2018
Segwise,Unknown,2021
AiDash,Unknown,2019
Zenity,Unknown,2019
Radiant Security,Unknown,2020
Völur,Unknown,2022
Raiinmaker,Unknown,2022
Intezer,Unknown,2018
AgentOps,Unknown,2022
Wand Enterprise,Unknown,2020
Causa,Unknown,2021
ChainML,Unknown,2021
AUI,Unknown,2020
Cyclops Security,Unknown,2021
Planck Data,Unknown,2023
Kater,Unknown,2019
APEX,Unknown,2020
Lore,Unknown,2022
Deltia,Unknown,2018
FlexAI,Unknown,2023
Capably,Unknown,2023
Thoughtly,Unknown,2019
Viam,Unknown,2021
Adrenaline,Unknown,2018
Toqan,Unknown,2023
Terminus Group,Unknown,2023
Sema4.ai,Unknown,2021
AilaFlow,Unknown,2018
RagaAI Inc.,Unknown,2022
Hybridity,Unknown,2019
Rebellions.ai,Unknown,2019
Holistic AI,Unknown,2022
QuickCode ai,Unknown,2021
Espresso AI,Unknown,2022
Amelia,Unknown,2021
Groq,Unknown,2021
Talus Network,Unknown,2023
CitrusX,Unknown,2022
Privacera,Unknown,2020
KaneAI,Unknown,2020
Aleph Alpha,Unknown,2020
Black Swan,Unknown,2018
Monitaur,Unknown,2022
Ensis,Unknown,2018
Artisan,Unknown,2019
MyShell,Unknown,2019
Alation,Unknown,2021
Cadea,Unknown,2021
Sahara AI,Unknown,2023
Enkrypt AI,Unknown,2019
Qwak,Unknown,2022
Geminus,Unknown,2021
Host.AI,Unknown,2023
Archetype AI,Unknown,2021
Vicarius,Unknown,2019
Sunrise AI,Unknown,2019
Illumex,Unknown,2018
Hyperscience,Unknown,2022
Guardrails,Unknown,2023
MonaLabs,Unknown,2022
Anon,Unknown,2019
Akirolabs,Unknown,2021
Humains,Unknown,2023
Simbian,Unknown,2022
TollBit,Unknown,2018
Token Security,Unknown,2023
Sorted,Unknown,2022
Recogni,Unknown,2022
Dynamo,Unknown,2019
Dataisland,Unknown,2022
Snorkel AI,Unknown,2019
AviaryAI,Unknown,2019
Ema,Unknown,2019
My Approach,Unknown,2019
Eden AI,Unknown,2021
Echobase,Unknown,2023
RunPod,Unknown,2021
Watchthis.dev,Unknown,2020
Layerbrain,Unknown,2021
GPUX.AI,Unknown,2018
Mostly,Unknown,2022
Prem,Unknown,2022
Odin AI,Unknown,2022
AiAgent.app,Unknown,2023
Skills.ai,Unknown,2023
Taylor AI,Unknown,2021
Monoid,Unknown,2019
Pentest Copilot,Unknown,2020
Logwise,Unknown,2020
Gretel.ai,Unknown,2018
GenWorlds,Unknown,2018
Donovan,Unknown,2022
Protection Guard,Unknown,2023
Granica,Unknown,2019
Getaipal,Unknown,2020
Cape Privacy,Unknown,2021
SuperAnnotate,Unknown,2021
Thiggle,Unknown,2023
Athina,Unknown,2023
Spell,Unknown,2018
Respell,Unknown,2023
Humans,Unknown,2023
Integry,Unknown,2018
Recall.ai,Unknown,2018
Reform,Unknown,2018
PopAI,Unknown,2021
PromptBoom,Unknown,2020
Kompas,Unknown,2019
Scoopika,Unknown,2019
Composio,Unknown,2019
AnythingLLM,Unknown,2018
Delphi,Unknown,2021
Fracttal,Unknown,2021
Botpress,Unknown,2021
MosaicML,Unknown,2021
Dot,Unknown,2019
Aiga,Unknown,2020
Attri,Unknown,2020
Marvin,Unknown,2018
JanitorAI,Unknown,2023
MemGPT,Unknown,2018
Rasa,Unknown,2022
Muffintech,Unknown,2022
LM Studio,Unknown,2020
Code Coach,Unknown,2020
VectorShift,Unknown,2019
BotCo.ai,Unknown,2023
AI21 Studio,Unknown,2023
Falcon LLM,Unknown,2019
rct AI,Unknown,2018
Clinc,Unknown,2020
Parloa,Unknown,2022
Converse Now,Unknown,2020
Aisera,Unknown,2021
Boost.ai,Unknown,2019
Get100X,Unknown,2018
Giglish,Unknown,2023
SylloTips,Unknown,2020
Adaptive,Unknown,2022
Qualifire,Unknown,2019
Sierra,Unknown,2021
Runnr.ai,Unknown,2021
Xpress AI,Unknown,2020
Struct Chat,Unknown,2023
Upstage,Unknown,2021
OneReach.ai,Unknown,2020
Darwin AI,Unknown,2019
Kubiya,Unknown,2020
Cognigy,Unknown,2021
Sensay,Unknown,2023
GPT Lab,Unknown,2019
Wiseone,Unknown,2023
Chatbot UI,Unknown,2021
Window.ai,Unknown,2023
Prompta,Unknown,2021
Build Chatbot,Unknown,2018
DocGPT,Unknown,2019
GPT-trainer,Unknown,2022
ChatWP,Unknown,2018
Camel AGI,Unknown,2021
ConvoStack,Unknown,2020
Commander GPT,Unknown,2022
Dialoq AI,Unknown,2023
MightyGPT,Unknown,2021
Klones,Unknown,2023
HeroTalk,Unknown,2023
Zekai,Unknown,2018
Chatpad AI,Unknown,2023
Next.js Chatbot,Unknown,2023
Chai AI,Unknown,2021
Gurubot,Unknown,2022
Zappr AI,Unknown,2018
SideChat,Unknown,2021
Golem,Unknown,2023
Conversease,Unknown,2021
WizAI,Unknown,2020
Circle Chat,Unknown,2018
Quicky AI,Unknown,2020
Gpt-tab,Unknown,2022
ChatFans,Unknown,2018
ZeroBot,Unknown,2020
OmniGPT,Unknown,2020
Gold Retriever,Unknown,2019
OppenheimerGPT,Unknown,2023
Alicent,Unknown,2023
Teno Chat,Unknown,2018
Q Slack Chatbot,Unknown,2021
Kel,Unknown,2022
IntelliBar,Unknown,2023
PromptReply,Unknown,2018
FydeOS,Unknown,2022
Kitt,Unknown,2019
OpenDoc AI,Unknown,2021
UseCloak.ai,Unknown,2020
AiryChat,Unknown,2022
Yack,Unknown,2019
AINiro,Unknown,2022
GoPDF,Unknown,2022
AI Assistant,Unknown,2022
Beamcast,Unknown,2023
Chatbuddy,Unknown,2023
Chaibar,Unknown,2019
Halist AI,Unknown,2021
Lunally,Unknown,2018
Agentplace,Unknown,2018
Verta RAG System,Unknown,2021
LangWatch,Unknown,2020
Helpix AI,Unknown,2020
Cloud Humans,Unknown,2020
Garden of AI,Unknown,2020
OpenCity,Unknown,2023
Odin AI,Unknown,2020
Arena Chat,Unknown,2021
MyChatbots.AI,Unknown,2023
APIPark,Unknown,2018
ChatBot Live,Unknown,2022
QueryPal,Unknown,2019
YouTube to Chatbot,Unknown,2020
Triibe,Unknown,2019
Voiceflow,Unknown,2022
AIChatbot,Unknown,2020
YesChat,Unknown,2019
BotsCrew,Unknown,2018
Conva.ai,Unknown,2023
Coval,Unknown,2018
Deepwander,Unknown,2018
Skyla,Unknown,2022
VanChat,Unknown,2021
Smitty,Unknown,2018
Kommunicate,Unknown,2018
FullContext,Unknown,2019
Chatness AI,Unknown,2018
Magic AI,Unknown,2023
GPT Builder Tools,Unknown,2021
Chatgot,Unknown,2020
WizyChat,Unknown,2022
AirAI,Unknown,2019
Whismer,Unknown,2019
ChatHelp,Unknown,2022
CamoCopy,Unknown,2022
Instill,Unknown,2021
ZeroGPT,Unknown,2022
Linea AI,Unknown,2022
Aidoc,Unknown,2021
Robust Intelligence,Unknown,2020
Lakera,Unknown,2020
Doppel,Unknown,2022
BINARLY,Unknown,2019
Armilla AI,Unknown,2019
VineSight,Unknown,2021
QA Tech,Unknown,2022
CrowdStrike,Unknown,2019
SydeLabs,Unknown,2022
Perception Point,Unknown,2023
Anomalo,Unknown,2020
Abstract Security,Unknown,2020
Redcoat AI,Unknown,2022
DeepKeep,Unknown,2021
ProtectAI,Unknown,2021
Aim Security,Unknown,2023
HiddenLayer,Unknown,2018
CalypsoAI,Unknown,2022
Synthetaic,Unknown,2023
Clarity,Unknown,2019
StealthMole,Unknown,2021
Adversa,Unknown,2018
TensorLeap,Unknown,2019
Varonis,Unknown,2022
AirMDR,Unknown,2021
Bedrock Security,Unknown,2018
Traceable,Unknown,2023
Intenseye,Unknown,2023
VulnCheck,Unknown,2020
Troj.ai,Unknown,2023
DeepChecks,Unknown,2018
Privasea,Unknown,2022
AI Scam Detective,Unknown,2019
Debunkd,Unknown,2022
Escape,Unknown,2019
Local AI Playground,Unknown,2021
Lasso Moderation,Unknown,2023
Vicuna,Unknown,2021
UsefulAI,Unknown,2021
Fuk.ai,Unknown,2023
DeepDetector,Unknown,2022
Zero GPT,Unknown,2023
Gentrace,Unknown,2023
Truata Calibrate,Unknown,2021
ZeroTrusted.ai,Unknown,2023
Trustguide,Unknown,2019
Winston,Unknown,2021
Display Gate Guard,Unknown,2022
Frigate NVR,Unknown,2021
Contentdetector.org,Unknown,2021
Blue River Technology,John Deere,2011
Taranis,Taranis,2015
Prospera,Prospera Technologies,2014
Climate Corporation,Bayer,2006
Granular,Corteva Agriscience,2014
FarmLogs,Granular,2011
Arable,Arable Labs,2014
Farmers Edge,Farmers Edge,2005
Gamaya,Gamaya,2015
Plantix,PEAT,2015
Krisp,Krisp,2017
LALAL.AI,LALAL.AI,2021
iZotope RX,Unknown,2020
Riffusion,Unknown,2023
Mubert,Unknown,2018
Uberduck,Unknown,2023
Adobe Podcast,Unknown,2022
Audyo,Unknown,2020
Vocal Remover,Unknown,2019
Listnr,Unknown,2018
ElevenLabs,Unknown,2018
CrystalSound,Unknown,2021
Replica Studios,Unknown,2018
PodPilot,Unknown,2020
WellSaid Labs,Unknown,2022
Respeecher,Unknown,2018
Musicfy,Unknown,2023
Beatopia,Unknown,2018
Kits AI,Unknown,2019
Deepgram,Unknown,2020
Stable Audio,Unknown,2019
Noisee AI,Unknown,2023
Optimizer AI,Unknown,2018
AudioShake,Unknown,2020
Rev,Unknown,2023
MixAudio,Unknown,2021
Jammable,Unknown,2019
Voicemod,Unknown,2022
Cleanvoice AI,Unknown,2021
Audio Strip,Unknown,2018
Ai|coustics,Unknown,2023
TTSLabs,Unknown,2021
Podcastle,Unknown,2022
Lalal.ai,Unknown,2018
Databass,Unknown,2019
VideoDubber,Unknown,2022
Voiceful.io,Unknown,2023
Altered,Unknown,2020
Koolio.ai,Unknown,2023
Koe Recast,Unknown,2022
Dubb,Unknown,2018
Listener.fm,Unknown,2018
Chord Variations,Unknown,2023
Samplab,Unknown,2021
Metavoice Studio,Unknown,2018
Audo Studio,Unknown,2020
Aflorithmic,Unknown,2019
Forever Voices,Unknown,2021
Supertone,Unknown,2019
Voice Swap,Unknown,2021
RipX,Unknown,2023
Audiogen,Unknown,2019
Texo,Unknown,2023
Wondercraft,Unknown,2023
Maverick ,Unknown,2023
AudioStack,Unknown,2020
Audio Enhancer,Unknown,2020
Adorno,Unknown,2020
Magnific AI,Unknown,2022
Kena.AI,Unknown,2021
SFX Engine,Unknown,2022
Suno,Suno,2023
Udio,Udio,2024
Descript,Descript,2017
Zapier AI,Zapier,2023
Make (Integromat),Make,2012
Tesla Autopilot,Tesla,2014
Waymo,Alphabet,2009
Cruise,General Motors,2013
Argo AI,Ford/Volkswagen,2016
Mobileye,Intel,1999
Aptiv,Aptiv,1994
Aurora,Aurora Innovation,2017
Zoox,Amazon,2014
Nuro,Nuro,2016
Plus,Plus,2016
HeyGen,Unknown,2019
Elai.io,Unknown,2022
Synthesia,Unknown,2020
Rosebud,Unknown,2021
Glambase,Unknown,2018
Character AI,Unknown,2022
Avaturn,Unknown,2019
MindOS,Unknown,2022
LookBook AI,Unknown,2020
Inworld,Unknown,2022
DupDub,Unknown,2023
Wondershare Virbo,Unknown,2018
Praktika,Unknown,2018
Higgsfield,Unknown,2021
Meshcapade,Unknown,2020
CharacterX,Unknown,2021
Colossyan,Unknown,2019
Immersive Fox,Unknown,2022
Reface AI,Unknown,2019
PictoDream,Unknown,2021
Ready Player Me,Unknown,2019
Theoasis,Unknown,2021
Artsmart.ai,Unknown,2022
Aihairstyles.com,Unknown,2023
Photoshot,Unknown,2020
HeroPack,Unknown,2019
Posed AI,Unknown,2021
NocodeBooth,Unknown,2019
AI Pet Avatar,Unknown,2023
Tryitonai,Unknown,2018
Korewa AI,Unknown,2021
Hairgen AI,Unknown,2018
Virtual Face,Unknown,2021
TheDream.ai,Unknown,2019
Evryface,Unknown,2019
ChatfAI,Unknown,2021
Epic Avatar,Unknown,2023
Paradot,Unknown,2021
Staf,Unknown,2021
Avtrs,Unknown,2019
Benchling,Benchling,2012
Salesforce Einstein,Salesforce,2016
PowerDirector,Unknown,2019
Mirror AI,Unknown,2019
Alethea,Unknown,2021
Blockode AI Photo Studio,Unknown,2022
Layer AI,Unknown,2018
Yoom Legion AI,Unknown,2018
Dreamlike.art,Unknown,2019
Petalica Paint,Unknown,2023
Playbook AI,Unknown,2021
GitHub Copilot,GitHub/OpenAI,2021
Tabnine,Tabnine,2012
Codeium,Codeium,2022
Amazon CodeWhisperer,Amazon,2022
Replit Ghostwriter,Replit,2022
Cursor,Anysphere,2023
Bolt.new,StackBlitz,2024
Windsurf,Codeium,2024
Lovable,Lovable,2024
Supermaven,Supermaven,2024
MarsCode,Unknown,2022
poorcoder,Unknown,2023
Codeium,Unknown,2021
Safurai,Unknown,2018
GitFluence,Unknown,2021
AI2sql,Unknown,2018
Adept,Unknown,2019
Prisma Editor,Unknown,2018
Second.dev,Unknown,2020
BashSenpai,Unknown,2019
Swimm,Unknown,2019
Refraction AI,Unknown,2021
Moderne,Unknown,2020
Sourcegraph,Unknown,2020
LLMStack,Unknown,2023
Lightrun,Unknown,2022
Cursor,Unknown,2022
Factory,Unknown,2023
CodeStory,Unknown,2018
Mobb,Unknown,2021
Cognition AI,Unknown,2022
Bloop,Unknown,2021
FumeDev,Unknown,2023
CodeAssist,Unknown,2018
Cosine AI,Unknown,2021
AI Code Mentor,Unknown,2019
HTTPie AI,Unknown,2023
SourceAI,Unknown,2019
JIT.codes,Unknown,2023
Bito,Unknown,2019
Auto Backend,Unknown,2022
CodeSquire,Unknown,2022
LlamaChat,Unknown,2020
CodeConvert AI,Unknown,2021
Kodezi ai,Unknown,2022
What does this code do?,Unknown,2021
Gitwit,Unknown,2019
HeyCLI,Unknown,2018
Mutable,Unknown,2021
RegEx Generator,Unknown,2018
FlutterFlow AI Gen,Unknown,2022
WhatTheDiff,Unknown,2019
Spark Engine,Unknown,2022
GPT Web App Generator,Unknown,2022
Fix My Code,Unknown,2023
K8sGPT,Unknown,2023
Parsagon,Unknown,2020
AskCodi,Unknown,2021
Imaginary Programming,Unknown,2022
CodeMate AI,Unknown,2019
Chat2Code,Unknown,2023
Fig AI,Unknown,2019
Raycast Al,Unknown,2020
LMQL,Unknown,2020
Smol Developer,Unknown,2019
PaletteBrain,Unknown,2018
GitPoet,Unknown,2021
Coderabbit.ai,Unknown,2021
Continual,Unknown,2021
Gradio,Unknown,2018
Pantheon Robotics,Unknown,2019
Fine,Unknown,2023
Codiga,Unknown,2023
Cradl AI,Unknown,2020
Isomeric,Unknown,2019
SDK Vercel,Unknown,2018
CodeWP,Unknown,2019
CodeCompanion,Unknown,2018
Whybug,Unknown,2021
Quest,Unknown,2019
Maverick,Unknown,2020
Refact AI ,Unknown,2022
Code Genius,Unknown,2018
Autoblocks AI,Unknown,2021
Boxy,Unknown,2018
Op,Unknown,2020
Code Converter,Unknown,2022
Checksum,Unknown,2019
TLDR,Unknown,2020
BoltAI,Unknown,2021
Refactory,Unknown,2023
Reflect.run,Unknown,2019
AICommit,Unknown,2022
EnhanceAI,Unknown,2021
Codex,Unknown,2023
Parea AI,Unknown,2020
Codecomplete.ai,Unknown,2018
GitBook AI,Unknown,2018
Ai Intern,Unknown,2022
Komandi,Unknown,2023
Gitlab Code Suggestions,Unknown,2022
How2,Unknown,2018
Devassistant.ai,Unknown,2018
Gradientj,Unknown,2020
I18ncore,Unknown,2022
Coderbuds,Unknown,2022
Juno,Unknown,2018
MockThis,Unknown,2022
Dasha,Unknown,2019
Lintrule,Unknown,2020
Metabob,Unknown,2023
Bugasura,Unknown,2020
RemixFast,Unknown,2022
UpCodes,Unknown,2018
Trag,Unknown,2018
Aide.dev,Unknown,2022
MATLAB,Unknown,2018
ShotSolve,Unknown,2023
DocuWriter.ai,Unknown,2018
CommandDash,Unknown,2020
Stackfix,Unknown,2020
UseTusk,Unknown,2023
McAnswers,Unknown,2019
getEssential.app,Unknown,2019
Jan,Unknown,2021
Superflex,Unknown,2020
Dryrun Security,Unknown,2023
Aspen.io,Unknown,2020
DeepSeek,DeepSeek,2023
Jasper,Jasper AI,2021
Copy.ai,Copy.ai,2020
Writesonic,Writesonic,2020
Rytr,Rytr,2021
Anyword,Anyword,2013
ChatGPT,OpenAI,2022
Claude,Anthropic,2022
Anthropic Claude 2,Anthropic,2023
Gemini,Google,2023
Microsoft Copilot,Microsoft,2023
Character.AI,Character.AI,2022
Poe,Quora,2022
Mistral,Mistral AI,2023
Grok,xAI,2023
Qwen,Alibaba Cloud,2023
Llama 3,Meta,2024
Claude 3.5 Sonnet,Anthropic,2024
Brandblast.ai,Unknown,2018
HubSpot,Unknown,2020
Adcreative.ai,Unknown,2020
Glasp,Unknown,2019
Easy Peasy AI,Unknown,2019
Yaara,Unknown,2022
Peppertype.ai,Unknown,2019
Hypotenuse,Unknown,2018
Cohesive,Unknown,2018
Pencil,Unknown,2018
CopyMonkey,Unknown,2018
eCommerce Prompt Generator,Unknown,2023
Taggy,Unknown,2022
Creaitor AI,Unknown,2023
Automata,Unknown,2020
Typeface,Unknown,2023
B12,Unknown,2020
Gizzmo,Unknown,2021
Ocoya,Unknown,2019
Proposal Genie,Unknown,2018
Frase,Unknown,2022
Persuva,Unknown,2021
Quick Creator,Unknown,2022
GoZen Content AI,Unknown,2022
SEO Content AI,Unknown,2019
Scalenut,Unknown,2021
Copysmith,Unknown,2021
Trolly.ai,Unknown,2021
Buffer,Unknown,2022
SEOWriteX,Unknown,2019
Blizzy AI,Unknown,2020
Rankify AI,Unknown,2023
Typeboss,Unknown,2018
ToastyAI,Unknown,2018
Narrato,Unknown,2019
ContentBot,Unknown,2021
RivalFlowAI,Unknown,2018
Evercopy,Unknown,2019
EditAI,Unknown,2018
AISEO,Unknown,2022
Botowski,Unknown,2022
Optimo,Unknown,2019
Jounce AI,Unknown,2018
Harpa.ai,Unknown,2021
Digital First AI,Unknown,2019
Logicballs,Unknown,2018
Epagestore.ai,Unknown,2023
Shakespeare,Unknown,2020
Unbound,Unknown,2023
Henshu.ai,Unknown,2022
WiziShop,Unknown,2020
Bertha.ai,Unknown,2019
Great Headlines,Unknown,2022
Daydrm.ai,Unknown,2018
Briefly,Unknown,2019
Blog Booster,Unknown,2019
Peachly AI,Unknown,2018
Yarnit,Unknown,2018
